*** Si_SiO2 - 22_02_2022	*START	Date: 2024-02-22	Time: 14:53:13
Current for R :1.000mA	Current 3-Omega30.000 mA	

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
300.0000	299.8345	298.0604	 29.3950	 26.4555	 30.0000

U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  

3.257500E-4	-4.249500E-5	7.290000E+0	8.765000E-1	1.000000E+1	2.979226E+2
3.134400E-4	-4.448500E-5	8.070000E+0	8.767400E-1	1.260000E+1	2.981943E+2
3.064800E-4	-4.255500E-5	7.920000E+0	8.766000E-1	1.580000E+1	2.981649E+2
2.997800E-4	-4.046000E-5	7.690000E+0	8.765000E-1	1.990000E+1	2.981346E+2
2.938050E-4	-3.818500E-5	7.440000E+0	8.763000E-1	2.510000E+1	2.980834E+2
2.883750E-4	-3.607000E-5	7.130000E+0	8.763000E-1	3.160000E+1	2.980838E+2
2.834750E-4	-3.387500E-5	6.820000E+0	8.763000E-1	3.980000E+1	2.981180E+2
2.765300E-4	-3.474000E-5	6.720000E+0	8.762800E-1	5.010000E+1	2.981470E+2
2.747800E-4	-3.001000E-5	6.240000E+0	8.761000E-1	6.310000E+1	2.981180E+2
2.709100E-4	-2.856500E-5	6.020000E+0	8.761000E-1	7.940000E+1	2.981218E+2
2.682300E-4	-2.717000E-5	5.780000E+0	8.761000E-1	1.000000E+2	2.981214E+2
2.643950E-4	-2.664000E-5	5.750000E+0	8.761000E-1	1.260000E+2	2.981220E+2
2.612900E-4	-2.630500E-5	5.750000E+0	8.761000E-1	1.580000E+2	2.981241E+2
2.582150E-4	-2.622500E-5	5.800000E+0	8.761000E-1	1.990000E+2	2.981385E+2
2.548750E-4	-2.681000E-5	6.010000E+0	8.761000E-1	2.510000E+2	2.981460E+2
2.514300E-4	-2.741500E-5	6.230000E+0	8.761000E-1	3.160000E+2	2.981523E+2
2.478600E-4	-2.835000E-5	6.530000E+0	8.761000E-1	3.980000E+2	2.981577E+2
2.439450E-4	-2.930500E-5	6.860000E+0	8.761000E-1	5.010000E+2	2.981355E+2
2.399250E-4	-3.040000E-5	7.190000E+0	8.761000E-1	6.310000E+2	2.981526E+2
2.361100E-4	-3.145000E-5	7.580000E+0	8.760200E-1	7.940000E+2	2.981424E+2
2.320400E-4	-3.300500E-5	7.940000E+0	8.760000E-1	1.000000E+3	2.981514E+2
2.280900E-4	-3.482500E-5	8.660000E+0	8.759800E-1	1.260000E+3	2.981362E+2
2.234900E-4	-3.747000E-5	9.580000E+0	8.760000E-1	1.580000E+3	2.981603E+2
2.185800E-4	-4.000500E-5	1.042000E+1	8.759000E-1	1.990000E+3	2.981596E+2

**END	Date: 2024-02-24	Time: 04:41:41
