*** Si_SiO2 - 22_02_2022	*START	Date: 2024-02-22	Time: 14:53:13
Current for R :1.000mA	Current 3-Omega30.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
220.0000	220.0110	221.0869	 23.2100	 20.8890	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
2.498350E-4	-3.129000E-5	7.130000E+0	7.198100E-1	6.310000E+0	2.211204E+2
2.451350E-4	-3.113500E-5	7.240000E+0	7.230700E-1	7.940000E+0	2.211626E+2
2.426200E-4	-3.265500E-5	7.640000E+0	7.231000E-1	1.000000E+1	2.211690E+2
2.345050E-4	-2.955500E-5	7.200000E+0	7.226000E-1	1.260000E+1	2.211748E+2
2.299700E-4	-2.858500E-5	7.050000E+0	7.223000E-1	1.580000E+1	2.211798E+2
2.247850E-4	-2.731000E-5	6.950000E+0	7.221000E-1	1.990000E+1	2.211776E+2
2.209650E-4	-2.587000E-5	6.730000E+0	7.217000E-1	2.510000E+1	2.211823E+2
2.169250E-4	-2.462500E-5	6.470000E+0	7.216000E-1	3.160000E+1	2.211753E+2
2.133950E-4	-2.317500E-5	6.200000E+0	7.214900E-1	3.980000E+1	2.211763E+2
2.057650E-4	-1.451500E-5	-8.170000E+0	7.223800E-1	5.010000E+1	2.211781E+2
2.066050E-4	-2.030000E-5	5.640000E+0	7.207000E-1	6.310000E+1	2.211922E+2
2.038850E-4	-1.897500E-5	5.310000E+0	7.206000E-1	7.940000E+1	2.211808E+2
2.016450E-4	-1.805500E-5	5.090000E+0	7.205000E-1	1.000000E+2	2.211897E+2
1.992150E-4	-1.685500E-5	4.820000E+0	7.204000E-1	1.260000E+2	2.211916E+2
1.973000E-4	-1.606500E-5	4.640000E+0	7.203000E-1	1.580000E+2	2.211948E+2
1.952650E-4	-1.558000E-5	4.540000E+0	7.203000E-1	1.990000E+2	2.211895E+2
1.935550E-4	-1.534500E-5	4.510000E+0	7.202000E-1	2.510000E+2	2.211936E+2
1.916950E-4	-1.521000E-5	4.580000E+0	7.202000E-1	3.160000E+2	2.211887E+2
1.898850E-4	-1.546000E-5	4.670000E+0	7.201000E-1	3.980000E+2	2.211928E+2
1.879500E-4	-1.576000E-5	4.780000E+0	7.201000E-1	5.010000E+2	2.211802E+2
1.857750E-4	-1.628500E-5	5.070000E+0	7.201000E-1	6.310000E+2	2.211947E+2
1.835750E-4	-1.687500E-5	5.270000E+0	7.200000E-1	7.940000E+2	2.211794E+2
1.806750E-4	-1.763500E-5	5.740000E+0	7.199200E-1	1.000000E+3	2.211826E+2
1.781580E-4	-1.836400E-5	5.940000E+0	7.197000E-1	1.260000E+3	2.211979E+2
1.761020E-4	-2.272800E-5	7.290000E+0	7.197000E-1	1.580000E+3	2.211842E+2
1.725660E-4	-2.352400E-5	7.820000E+0	7.196000E-1	1.990000E+3	2.211903E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
230.0000	229.9222	229.6342	 23.9055	 21.5150	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
2.553300E-4	-3.280000E-5	7.330000E+0	7.337400E-1	6.310000E+0	2.298647E+2
2.499350E-4	-3.263500E-5	7.440000E+0	7.355000E-1	7.940000E+0	2.298991E+2
2.454150E-4	-3.602500E-5	8.180000E+0	7.353000E-1	1.000000E+1	2.299183E+2
2.390050E-4	-3.078500E-5	7.340000E+0	7.350000E-1	1.260000E+1	2.299268E+2
2.341800E-4	-2.978000E-5	7.250000E+0	7.349000E-1	1.580000E+1	2.299348E+2
2.296850E-4	-2.854000E-5	7.100000E+0	7.349000E-1	1.990000E+1	2.299250E+2
2.254100E-4	-2.708000E-5	6.800000E+0	7.348000E-1	2.510000E+1	2.299175E+2
2.211900E-4	-2.570500E-5	6.670000E+0	7.347000E-1	3.160000E+1	2.299203E+2
2.174600E-4	-2.415000E-5	6.340000E+0	7.347000E-1	3.980000E+1	2.299119E+2
2.130100E-4	-2.121500E-5	1.055000E+1	7.321500E-1	5.010000E+1	2.299157E+2
2.111900E-4	-2.123000E-5	5.760000E+0	7.345800E-1	6.310000E+1	2.299106E+2
2.084000E-4	-1.976500E-5	5.440000E+0	7.345000E-1	7.940000E+1	2.299127E+2
2.058400E-4	-1.875500E-5	5.250000E+0	7.345300E-1	1.000000E+2	2.299022E+2
