*** szafir SiO2 20 mkm 15-04-2019	*START	Date: 2019-04-15	Time: 13:31:42
Current for R :2.000mA	Current 3-Omega25.000 mA		

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
200.0000	200.0044	202.6025	 19.3302	 12.0814	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.520140E-4	-2.151800E-5	8.070000E+0	4.881500E-1	6.310000E+0	2.026097E+2
1.502540E-4	-2.074000E-5	7.870000E+0	4.925000E-1	7.940000E+0	2.026191E+2
1.491280E-4	-1.937400E-5	7.380000E+0	4.945000E-1	1.000000E+1	2.026284E+2
1.454380E-4	-1.840800E-5	7.220000E+0	4.953000E-1	1.260000E+1	2.026392E+2
1.437020E-4	-1.794800E-5	6.840000E+0	4.957000E-1	1.580000E+1	2.026398E+2
1.410340E-4	-1.627400E-5	6.610000E+0	4.961000E-1	1.990000E+1	2.026381E+2
1.389420E-4	-1.527200E-5	6.280000E+0	4.961000E-1	2.510000E+1	2.026303E+2
1.370940E-4	-1.446800E-5	6.050000E+0	4.962000E-1	3.160000E+1	2.026298E+2
1.353420E-4	-1.397400E-5	5.880000E+0	4.962000E-1	3.980000E+1	2.026237E+2
1.326020E-4	-1.258200E-5	2.270000E+0	4.956800E-1	5.010000E+1	2.026323E+2
1.321100E-4	-1.327800E-5	5.730000E+0	4.961000E-1	6.310000E+1	2.026302E+2
1.305140E-4	-1.325400E-5	5.800000E+0	4.961000E-1	7.940000E+1	2.026446E+2
1.288240E-4	-1.339200E-5	5.940000E+0	4.961000E-1	1.000000E+2	2.026283E+2
1.270080E-4	-1.358000E-5	6.100000E+0	4.961000E-1	1.260000E+2	2.026409E+2
1.251100E-4	-1.392800E-5	6.330000E+0	4.962000E-1	1.580000E+2	2.026336E+2
1.231020E-4	-1.415000E-5	6.550000E+0	4.962000E-1	1.990000E+2	2.026272E+2
1.210020E-4	-1.444800E-5	6.820000E+0	4.962000E-1	2.510000E+2	2.026253E+2
1.189780E-4	-1.463800E-5	7.020000E+0	4.962000E-1	3.160000E+2	2.026369E+2
1.169520E-4	-1.492400E-5	7.310000E+0	4.962000E-1	3.980000E+2	2.026340E+2
1.149720E-4	-1.518200E-5	7.560000E+0	4.962000E-1	5.010000E+2	2.026147E+2
1.129460E-4	-1.570200E-5	8.000000E+0	4.962000E-1	6.310000E+2	2.026338E+2
1.110440E-4	-1.605200E-5	8.250000E+0	4.962000E-1	7.940000E+2	2.026424E+2
1.089020E-4	-1.665000E-5	8.640000E+0	4.962000E-1	1.000000E+3	2.026298E+2
1.069720E-4	-1.747400E-5	9.340000E+0	4.962000E-1	1.260000E+3	2.026453E+2
1.051600E-4	-1.859000E-5	1.004000E+1	4.962000E-1	1.580000E+3	2.026279E+2
1.026400E-4	-2.006200E-5	1.099000E+1	4.962000E-1	1.990000E+3	2.026399E+2
9.967000E-5	-2.141000E-5	1.203000E+1	4.962000E-1	2.510000E+3	2.026367E+2
9.680000E-5	-2.300000E-5	1.349000E+1	4.961000E-1	3.160000E+3	2.026358E+2
9.853600E-5	-2.559600E-5	1.461000E+1	4.960700E-1	3.980000E+3	2.026420E+2
9.700600E-5	-2.961600E-5	1.697000E+1	4.960400E-1	5.010000E+3	2.026356E+2
9.442200E-5	-3.597400E-5	2.085000E+1	4.960000E-1	6.310000E+3	2.026426E+2
8.880200E-5	-4.223400E-5	2.536000E+1	4.959000E-1	7.940000E+3	2.026332E+2
8.356200E-5	-4.726200E-5	2.948000E+1	4.959000E-1	1.000000E+4	2.026376E+2
7.609800E-5	-5.212600E-5	3.455000E+1	4.958000E-1	1.260000E+4	2.026341E+2
6.575800E-5	-5.487600E-5	3.988000E+1	4.956000E-1	1.580000E+4	2.026270E+2
7.678600E-5	-7.293600E-5	4.357000E+1	4.953000E-1	1.990000E+4	2.026392E+2
7.259800E-5	-8.013000E-5	4.791000E+1	4.952000E-1	2.200000E+4	2.026312E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
205.0000	205.0109	207.4847	 19.5250	 12.2031	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.549220E-4	-2.211600E-5	8.120000E+0	4.925700E-1	6.310000E+0	2.074992E+2
1.531460E-4	-2.132800E-5	7.920000E+0	4.970000E-1	7.940000E+0	2.075060E+2
1.511320E-4	-2.123600E-5	8.020000E+0	4.990000E-1	1.000000E+1	2.075192E+2
1.483180E-4	-1.897800E-5	7.260000E+0	4.998000E-1	1.260000E+1	2.075171E+2
1.462300E-4	-1.702400E-5	6.650000E+0	5.002000E-1	1.580000E+1	2.075180E+2
1.436940E-4	-1.672600E-5	6.620000E+0	5.004000E-1	1.990000E+1	2.075131E+2
1.415940E-4	-1.582200E-5	6.370000E+0	5.005000E-1	2.510000E+1	2.075280E+2
1.396580E-4	-1.501000E-5	6.110000E+0	5.006000E-1	3.160000E+1	2.075133E+2
1.379640E-4	-1.438800E-5	5.940000E+0	5.006000E-1	3.980000E+1	2.075182E+2
1.362000E-4	-1.575400E-5	7.620000E+0	4.999000E-1	5.010000E+1	2.075168E+2
1.346340E-4	-1.378200E-5	5.870000E+0	5.006500E-1	6.310000E+1	2.075153E+2
1.328280E-4	-1.388600E-5	5.960000E+0	5.007000E-1	7.940000E+1	2.075162E+2
1.310800E-4	-1.406400E-5	6.080000E+0	5.007000E-1	1.000000E+2	2.075264E+2
1.290880E-4	-1.428800E-5	6.320000E+0	5.007000E-1	1.260000E+2	2.075147E+2
1.271380E-4	-1.458800E-5	6.560000E+0	5.007000E-1	1.580000E+2	2.075227E+2
1.249640E-4	-1.479800E-5	6.760000E+0	5.007000E-1	1.990000E+2	2.075137E+2
1.227780E-4	-1.510000E-5	7.010000E+0	5.007000E-1	2.510000E+2	2.075132E+2
1.207000E-4	-1.528400E-5	7.220000E+0	5.007000E-1	3.160000E+2	2.075159E+2
1.185420E-4	-1.552400E-5	7.520000E+0	5.007000E-1	3.980000E+2	2.075296E+2
1.164180E-4	-1.593000E-5	7.820000E+0	5.007000E-1	5.010000E+2	2.075089E+2
1.143900E-4	-1.623000E-5	8.040000E+0	5.008000E-1	6.310000E+2	2.075135E+2
1.123280E-4	-1.671200E-5	8.560000E+0	5.008000E-1	7.940000E+2	2.075129E+2
1.102420E-4	-1.717800E-5	8.910000E+0	5.007700E-1	1.000000E+3	2.075084E+2
1.081820E-4	-1.807800E-5	9.470000E+0	5.007500E-1	1.260000E+3	2.075045E+2
1.062200E-4	-1.922400E-5	1.022000E+1	5.008000E-1	1.580000E+3	2.075209E+2
1.036600E-4	-2.073600E-5	1.142000E+1	5.007200E-1	1.990000E+3	2.075134E+2
1.004420E-4	-2.216200E-5	1.254000E+1	5.007800E-1	2.510000E+3	2.075053E+2
9.773600E-5	-2.371400E-5	1.369000E+1	5.008000E-1	3.160000E+3	2.075229E+2
9.930400E-5	-2.616600E-5	1.481000E+1	5.007000E-1	3.980000E+3	2.075058E+2
9.770400E-5	-3.027600E-5	1.728000E+1	5.007000E-1	5.010000E+3	2.075185E+2
9.498400E-5	-3.670200E-5	2.121000E+1	5.006000E-1	6.310000E+3	2.075205E+2
8.924600E-5	-4.305000E-5	2.571000E+1	5.006000E-1	7.940000E+3	2.075205E+2
8.257200E-5	-4.597000E-5	2.902000E+1	5.005000E-1	1.000000E+4	2.075147E+2
7.628200E-5	-5.262200E-5	3.455000E+1	5.004000E-1	1.260000E+4	2.075092E+2
6.514600E-5	-5.575400E-5	4.061000E+1	5.002000E-1	1.580000E+4	2.075059E+2
7.698200E-5	-7.366600E-5	4.357000E+1	4.999400E-1	1.990000E+4	2.075082E+2
7.461200E-5	-8.331600E-5	4.818000E+1	4.998000E-1	2.200000E+4	2.075170E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
210.0000	210.0091	212.3638	 19.7275	 12.3297	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.580440E-4	-2.276800E-5	8.210000E+0	4.976400E-1	6.310000E+0	2.123770E+2
1.561520E-4	-2.187000E-5	7.980000E+0	5.018300E-1	7.940000E+0	2.123772E+2
