*** szafir SiO2 3 mkm 05-04-19	*START	Date: 2019-04-05	Time: 16:05:18
Current for R :1.000mA	Current 3-Omega5.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 45.0000	 45.0012	 41.6171	 97.6600	  2.4415	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
4.224400E-4	2.410000E-6	-3.300000E-1	5.105650E-1	6.310000E+0	4.162900E+1
4.197100E-4	2.380000E-6	-3.800000E-1	5.133600E-1	7.940000E+0	4.163870E+1
4.259450E-4	2.207500E-6	-2.800000E-1	5.137000E-1	1.000000E+1	4.164000E+1
4.198625E-4	5.850000E-7	-4.600000E-1	5.137000E-1	1.260000E+1	4.166400E+1
4.224425E-4	2.282500E-6	-1.590000E+0	5.136750E-1	1.580000E+1	4.166770E+1
4.242125E-4	-2.415000E-6	-9.000000E-2	5.137000E-1	1.990000E+1	4.167640E+1
4.192675E-4	5.450000E-7	-7.000000E-2	5.136750E-1	2.510000E+1	4.167420E+1
4.196275E-4	6.325000E-7	-2.200000E-1	5.137000E-1	3.160000E+1	4.166960E+1
4.196350E-4	-6.250000E-8	-4.000000E-2	5.136000E-1	3.980000E+1	4.167360E+1
3.963425E-4	-4.530000E-6	1.570000E+0	5.134100E-1	5.010000E+1	4.167380E+1
4.193525E-4	-5.850000E-7	5.000000E-2	5.136000E-1	6.310000E+1	4.167930E+1
4.193700E-4	-7.625000E-7	1.100000E-1	5.135950E-1	7.940000E+1	4.167430E+1
4.197650E-4	-1.197500E-6	3.000000E-2	5.132300E-1	1.000000E+2	4.167310E+1
4.191950E-4	-1.420000E-6	1.800000E-1	5.136000E-1	1.260000E+2	4.167400E+1
4.192575E-4	-2.082500E-6	2.800000E-1	5.136000E-1	1.580000E+2	4.167550E+1
4.190950E-4	-2.470000E-6	3.800000E-1	5.136150E-1	1.990000E+2	4.167570E+1
4.190550E-4	-3.440000E-6	4.800000E-1	5.137000E-1	2.510000E+2	4.167380E+1
4.190750E-4	-4.175000E-6	5.900000E-1	5.137000E-1	3.160000E+2	4.167320E+1
4.189950E-4	-5.355000E-6	7.600000E-1	5.137100E-1	3.980000E+2	4.167910E+1
4.188125E-4	-6.585000E-6	8.800000E-1	5.138000E-1	5.010000E+2	4.167560E+1
4.186425E-4	-8.277500E-6	1.150000E+0	5.138000E-1	6.310000E+2	4.166920E+1
4.185275E-4	-1.026250E-5	1.430000E+0	5.138150E-1	7.940000E+2	4.167250E+1
4.194150E-4	-1.319250E-5	1.700000E+0	5.138700E-1	1.000000E+3	4.167460E+1
4.184750E-4	-1.600750E-5	2.180000E+0	5.139000E-1	1.260000E+3	4.167140E+1
4.178450E-4	-2.004000E-5	2.740000E+0	5.139000E-1	1.580000E+3	4.166920E+1
4.173050E-4	-2.540000E-5	3.510000E+0	5.139400E-1	1.990000E+3	4.167330E+1
4.184600E-4	-3.515250E-5	4.830000E+0	5.139750E-1	2.510000E+3	4.167310E+1
4.162375E-4	-4.314000E-5	5.910000E+0	5.140000E-1	3.160000E+3	4.167410E+1
4.158600E-4	-5.367250E-5	7.330000E+0	5.139000E-1	3.980000E+3	4.167110E+1
4.164700E-4	-6.756000E-5	9.250000E+0	5.139000E-1	5.010000E+3	4.166720E+1
4.154900E-4	-8.649000E-5	1.182000E+1	5.138000E-1	6.310000E+3	4.166810E+1
4.131875E-4	-1.120775E-4	1.522000E+1	5.136150E-1	7.940000E+3	4.167470E+1
4.052275E-4	-1.457675E-4	1.978000E+1	5.134300E-1	1.000000E+4	4.167450E+1
3.862250E-4	-1.762125E-4	2.455000E+1	5.132000E-1	1.260000E+4	4.167160E+1
3.756350E-4	-2.208950E-4	3.044000E+1	5.128000E-1	1.580000E+4	4.167170E+1
3.467525E-4	-2.611350E-4	3.700000E+1	5.122000E-1	1.990000E+4	4.167220E+1
3.324125E-4	-2.793325E-4	4.003000E+1	5.119000E-1	2.200000E+4	4.167400E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 50.0000	 50.0084	 47.9344	 99.7470	  2.4937	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.908575E-4	2.727500E-6	-5.100000E-1	5.201000E-1	6.310000E+0	4.792670E+1
3.857200E-4	2.420000E-6	-2.900000E-1	5.235100E-1	7.940000E+0	4.792800E+1
3.908625E-4	-3.367500E-6	3.700000E-1	5.243000E-1	1.000000E+1	4.793160E+1
3.852275E-4	1.455000E-6	-5.000000E-2	5.244300E-1	1.260000E+1	4.792550E+1
3.850350E-4	-5.250000E-7	2.570000E+0	5.244500E-1	1.580000E+1	4.792290E+1
3.859075E-4	6.205000E-6	-5.700000E-1	5.244000E-1	1.990000E+1	4.792580E+1
3.850300E-4	-7.250000E-8	1.400000E-1	5.244800E-1	2.510000E+1	4.792940E+1
3.844700E-4	-1.170000E-6	2.000000E-2	5.245000E-1	3.160000E+1	4.792450E+1
3.852900E-4	-4.600000E-7	-1.000000E-2	5.245000E-1	3.980000E+1	4.792530E+1
3.784825E-4	4.955000E-6	-1.299000E+1	5.248700E-1	5.010000E+1	4.791910E+1
3.853025E-4	-5.900000E-7	6.000000E-2	5.245000E-1	6.310000E+1	4.792430E+1
3.853325E-4	-9.000000E-7	1.400000E-1	5.245000E-1	7.940000E+1	4.793000E+1
3.846275E-4	-9.700000E-7	-7.000000E-2	5.245950E-1	1.000000E+2	4.792850E+1
3.853025E-4	-1.642500E-6	2.600000E-1	5.245000E-1	1.260000E+2	4.792300E+1
3.850475E-4	-2.185000E-6	3.300000E-1	5.245000E-1	1.580000E+2	4.792940E+1
3.849325E-4	-2.467500E-6	4.000000E-1	5.245050E-1	1.990000E+2	4.792700E+1
3.848475E-4	-3.152500E-6	5.000000E-1	5.245500E-1	2.510000E+2	4.792880E+1
3.847025E-4	-3.785000E-6	5.500000E-1	5.246000E-1	3.160000E+2	4.792820E+1
3.849300E-4	-4.937500E-6	7.100000E-1	5.246000E-1	3.980000E+2	4.792860E+1
3.844750E-4	-6.372500E-6	9.200000E-1	5.246550E-1	5.010000E+2	4.791850E+1
3.847050E-4	-7.992500E-6	1.200000E+0	5.247000E-1	6.310000E+2	4.792760E+1
3.845225E-4	-9.870000E-6	1.490000E+0	5.247000E-1	7.940000E+2	4.792140E+1
3.843575E-4	-1.187500E-5	1.820000E+0	5.247100E-1	1.000000E+3	4.792920E+1
3.844725E-4	-1.468000E-5	2.150000E+0	5.248000E-1	1.260000E+3	4.792620E+1
