Symbol,AtomicNumber,AtomicMass,Electronegativity,AtomicRadius,IonizationEnergy,MeltingPoint,BoilingPoint,Density
H,1,1.008,2.2,120,13.598,13.81,20.28,8.988E-05
He,2,4.0026,0,140,24.587,0.95,4.22,0.0001785
Li,3,7,0.98,182,5.392,453.65,1615,0.534
Be,4,9.012183,1.57,153,9.323,1560,2744,1.85
B,5,10.81,2.04,192,8.298,2348,4273,2.37
C,6,12.011,2.55,170,11.26,3823,4098,2.267
N,7,14.007,3.04,155,14.534,63.15,77.36,0.0012506
O,8,15.999,3.44,152,13.618,54.36,90.2,0.001429
F,9,18.99840316,3.98,135,17.423,53.53,85.03,0.001696
Ne,10,20.18,0,154,21.565,24.56,27.07,0.0008999
Na,11,22.9897693,0.93,227,5.139,370.95,1156,0.97
Mg,12,24.305,1.31,173,7.646,923,1363,1.74
Al,13,26.981538,1.61,184,5.986,933.437,2792,2.7
Si,14,28.085,1.9,210,8.152,1687,3538,2.3296
P,15,30.973762,2.19,180,10.487,317.3,553.65,1.82
S,16,32.07,2.58,180,10.36,388.36,717.75,2.067
Cl,17,35.45,3.16,175,12.968,171.65,239.11,0.003214
Ar,18,39.9,0,188,15.76,83.8,87.3,0.0017837
K,19,39.0983,0.82,275,4.341,336.53,1032,0.89
Ca,20,40.08,1,231,6.113,1115,1757,1.54
Sc,21,44.95591,1.36,211,6.561,1814,3109,2.99
Ti,22,47.867,1.54,187,6.828,1941,3560,4.5
V,23,50.9415,1.63,179,6.746,2183,3680,6
Cr,24,51.996,1.66,189,6.767,2180,2944,7.15
Mn,25,54.93804,1.55,197,7.434,1519,2334,7.3
Fe,26,55.84,1.83,194,7.902,1811,3134,7.874
Co,27,58.93319,1.88,192,7.881,1768,3200,8.86
Ni,28,58.693,1.91,163,7.64,1728,3186,8.912
Cu,29,63.55,1.9,140,7.726,1357.77,2835,8.933
Zn,30,65.4,1.65,139,9.394,692.68,1180,7.134
Ga,31,69.723,1.81,187,5.999,302.91,2477,5.91
Ge,32,72.63,2.01,211,7.9,1211.4,3106,5.323
As,33,74.92159,2.18,185,9.815,1090,887,5.776
Se,34,78.97,2.55,190,9.752,493.65,958,4.809
Br,35,79.9,2.96,183,11.814,265.95,331.95,3.11
Kr,36,83.8,3,202,14,115.79,119.93,0.003733
Rb,37,85.468,0.82,303,4.177,312.46,961,1.53
Sr,38,87.62,0.95,249,5.695,1050,1655,2.64
Y,39,88.90584,1.22,219,6.217,1795,3618,4.47
Zr,40,91.22,1.33,186,6.634,2128,4682,6.52
Nb,41,92.90637,1.6,207,6.759,2750,5017,8.57
Mo,42,95.95,2.16,209,7.092,2896,4912,10.2
Tc,43,96.90636,1.9,209,7.28,2430,4538,11
